2.1;2;21.0;407;9:26:41:201
19.4;550;21.0;408;9:26:43:274
18.9;530;21.0;403;9:26:45:348
19.7;575;21.0;404;9:26:47:421
18.9;532;21.0;407;9:26:49:495
19.0;531;21.0;401;9:26:51:569
18.9;532;21.0;405;9:26:53:643
19.4;558;21.0;406;9:26:55:717
19.0;540;20.7;400;9:26:57:790
19.3;554;20.7;399;9:26:59:864
19.0;548;20.6;399;9:27:1:938
18.2;516;20.4;392;9:27:4:12
18.6;535;20.5;394;9:27:6:85
18.9;549;20.5;393;9:27:8:159
18.9;538;20.6;402;9:27:10:233
2.2;2;20.6;395;9:27:12:304
18.2;513;20.6;397;9:27:14:378
18.8;540;20.6;400;9:27:16:451
2.2;2;20.6;394;9:27:18:523
18.9;543;20.6;395;9:27:20:597
19.0;548;20.6;398;9:27:22:670
2.2;2;20.6;395;9:27:24:742
18.9;543;20.7;400;9:27:26:815
18.9;541;20.7;402;9:27:28:889
18.9;536;20.7;390;9:27:30:963
19.2;557;20.7;391;9:27:33:36
2.2;2;20.8;396;9:27:35:108
18.9;537;20.8;398;9:27:37:182
2.2;2;20.8;401;9:27:39:253
19.6;566;20.8;397;9:27:41:327
19.3;551;20.8;401;9:27:43:401
19.3;556;20.9;409;9:27:45:474
19.2;543;20.9;397;9:27:47:548
19.3;551;20.9;400;9:27:49:622
2.2;2;20.8;399;9:27:51:693
19.2;548;20.9;394;9:27:53:767
19.2;545;20.9;400;9:27:55:840
19.2;546;20.9;399;9:27:57:914
2.2;2;20.9;394;9:27:59:986
19.6;565;20.9;397;9:28:2:60
19.2;540;20.9;394;9:28:4:133
19.2;543;20.9;393;9:28:6:207
2.2;2;20.9;399;9:28:8:278
19.1;540;20.8;386;9:28:10:352
19.2;553;20.8;391;9:28:12:426
19.0;546;20.7;382;9:28:14:499
19.0;553;20.6;388;9:28:16:572
18.9;553;20.5;385;9:28:18:646
2.1;2;20.4;387;9:28:20:717
19.1;555;20.5;388;9:28:22:790
18.9;548;20.2;370;9:28:24:864
2.2;2;20.1;376;9:28:26:935
19.0;548;20.6;401;9:28:29:8
19.0;551;20.5;384;9:28:31:82
17.5;569;17.1;401;9:39:33:136
17.3;558;17.5;401;9:39:35:212
16.8;531;16.9;393;9:39:37:284
17.4;565;16.9;396;9:39:39:357
17.4;566;17.0;391;9:39:41:429
16.5;524;17.4;392;9:39:43:502
16.8;539;16.5;386;9:39:45:574
16.7;543;17.0;393;9:39:47:646
16.9;543;17.3;391;9:41:35:831
17.2;553;16.6;386;9:41:56:876
17.0;545;16.7;388;9:41:58:949
17.3;558;17.3;398;9:42:1:22
2.1;2;21.0;405;10:11:22:110
19.2;538;20.5;372;10:11:24:186
19.6;559;20.9;405;10:11:26:260
2.2;2;20.9;399;10:11:28:332
19.6;559;20.8;397;10:11:30:405
2.3;2;20.6;402;10:11:32:477
19.1;546;20.5;390;10:11:34:550
21.2;490;21.9;381;10:15:19:374
21.1;486;21.1;486;10:15:24:451
21.6;366;20.4;461;10:15:26:494
20.8;340;20.5;453;10:15:28:536
20.7;336;20.6;462;10:15:30:579
20.8;352;20.6;450;10:15:32:623
20.8;350;20.6;487;10:15:34:665
20.8;351;20.6;455;10:15:36:708
20.8;350;20.7;355;10:15:41:782
20.7;355;20.9;348;10:15:47:868
