32.4;630;32.0;547;10:51:31:660
32.5;658;32.5;658;10:51:59:333
31.3;638;31.3;638;10:52:5:423
31.2;648;31.2;648;10:52:12:525
31.2;648;32.4;534;10:52:19:624
32.4;534;32.4;534;10:52:21:668
32.0;526;31.7;663;10:52:29:778
31.7;663;32.5;530;10:52:39:911
32.5;530;32.5;530;10:52:41:956
32.5;530;32.5;530;10:52:44:2
32.5;644;32.5;549;10:52:46:46
32.4;544;32.3;547;10:52:54:155
31.2;650;31.2;650;10:52:58:221
32.5;646;31.1;590;10:53:12:395
31.1;590;31.1;590;10:53:14:447
31.1;590;32.5;560;10:53:26:601
32.4;536;32.4;536;10:53:31:678
32.4;536;32.4;536;10:53:33:724
32.4;536;32.4;536;10:53:35:769
32.5;672;32.5;672;10:53:39:835
32.5;548;32.2;536;10:53:49:966
32.3;656;31.5;687;10:53:59:86
31.5;687;31.5;687;10:54:1:130
32.5;640;32.3;546;10:54:21:372
31.2;630;31.2;630;10:54:25:437
31.2;630;31.2;630;10:54:27:482
32.5;633;32.4;540;10:54:50:759
