31.1;614;32.7;541;10:35:54:158
32.0;663;32.0;663;10:38:5:66
31.2;646;31.2;646;10:38:11:158
31.2;661;31.2;661;10:38:18:258
31.2;661;32.1;532;10:38:25:360
32.1;532;32.1;532;10:38:27:404
32.2;534;31.5;658;10:38:35:513
31.5;658;32.3;541;10:38:45:644
32.3;541;32.3;541;10:38:47:688
32.3;541;32.3;541;10:38:49:733
32.6;555;32.6;541;10:38:57:841
31.5;667;31.5;667;10:39:1:907
32.4;653;30.0;636;10:39:14:60
30.0;636;30.0;636;10:39:16:104
30.0;636;32.4;519;10:39:27:247
32.7;550;32.7;550;10:39:32:324
32.7;550;32.7;550;10:39:34:369
32.7;550;32.5;664;10:39:39:446
32.5;664;32.1;535;10:39:46:545
